TypeKey,TypeName,key,name,Download?
adminregion,Administrative Regions,CDFW,California Department of Fish and Wildlife,T
adminregion,Administrative Regions,CDFW7,California Department of Fish and Wildlife (Region 7) ,F
adminregion,Administrative Regions,OPC,California Ocean Protection Council,T
adminregion,Administrative Regions,CSP,California State Parks,T
adminregion,Administrative Regions,CC,Central Coast Region,F
adminregion,Administrative Regions,CVJV,Central Valley Joint Venture,T
adminregion,Administrative Regions,KTAP,Klamath Tracking and Accounting Program,F
adminregion,Administrative Regions,LRWQCB,Lahontan Regional Water Quality Control Board,F
adminregion,Administrative Regions,MVCACCR,Mosquito and Vector Control Asscociation of California Coastal Region,F
adminregion,Administrative Regions,NOAA,National Oceanic and Atmospheric Administration,T
adminregion,Administrative Regions,NRG,Natural Resources Group,T
adminregion,Administrative Regions,NCRWQCB,North Coast Regional Water Quality Control Board,F
adminregion,Administrative Regions,Delta,Sacramento-San Joaquin Delta and Suisun Marsh,T
adminregion,Administrative Regions,DeltaProp1,Sacramento-San Joaquin Delta and Suisun Marsh (Prop 1),T
adminregion,Administrative Regions,SDRWQCB,San Diego Regional Water Quality Control Board,F
adminregion,Administrative Regions,SFBA,San Francisco Bay Adaptation,T
adminregion,Administrative Regions,SFBJV,San Francisco Bay Joint Venture,T
adminregion,Administrative Regions,SFBRWQCB,San Francisco Bay Regional Water Quality Control Board,T
adminregion,Administrative Regions,SFEI,San Francisco Estuary Institute (for testing purposes only),T
adminregion,Administrative Regions,SCVHA,Santa Clara Valley Habitat Agency,T
adminregion,Administrative Regions,SCVWD,Santa Clara Valley Water District,T
adminregion,Administrative Regions,SMP,Sierra Meadows Partnership,F
adminregion,Administrative Regions,Sonoma,Sonoma County,T
adminregion,Administrative Regions,SCR,South Coast Regional Boards,F
adminregion,Administrative Regions,WRP,Southern California Wetland Recovery Project,F
adminregion,Administrative Regions,SCC,State Coastal Conservancy,T
adminregion,Administrative Regions,SWRCB,State Water Resources Control Board,T
adminregion,Administrative Regions,UBP,Unspecified Baywide Projects,T
adminregion,Administrative Regions,USACE,US Army Corps of Engineers,T
adminregion,Administrative Regions,VNLC,Vollmar Natural Lands Consulting,T
adminregion,Administrative Regions,WCB,Wildlife Conservation Board,T
ecoregion,Ecoregions,bay-delta,Bay/Delta,T
ecoregion,Ecoregions,central-coast,Central Coast,F
ecoregion,Ecoregions,colorado-desert,Colorado Desert,F
ecoregion,Ecoregions,klamath-north-coast,Klamath/North Coast,F
ecoregion,Ecoregions,modoc,Modoc,F
ecoregion,Ecoregions,mojave,Mojave,F
ecoregion,Ecoregions,sacramento-valley,Sacramento Valley,T
ecoregion,Ecoregions,san-joaquin-valley,San Joaquin Valley,T
ecoregion,Ecoregions,sierra,Sierra,F
ecoregion,Ecoregions,south-coast,South Coast,F
group,Groups,135,Agua Fria Conservation Bank,F
group,Groups,223,Alkali Sink Conservation Bank,F
group,Groups,263,Allensworth Conservation Bank,F
group,Groups,280,Alton North Conservation Bank,T
group,Groups,166,Alton South Conservation Bank,T
group,Groups,208,Anaheim Bay - Port of Long Beach,F
group,Groups,211,Bullock Bend Mitigation Bank,T
group,Groups,290,Burdell Ranch Mitigation Bank,T
